"Fly ID"	"Light Intensity(uW/mm2)"	"Wind status"	"Satiety"	"Genotype"	"Status"	"weighted_TSALE_P10"
3	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.00177935943060498
4	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.895017793594306
5	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.254448398576512
6	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
7	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
8	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
9	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0400355871886121
10	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
11	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.405693950177936
12	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.26067615658363
13	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.00800711743772242
14	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.606761565836299
15	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0516014234875445
16	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.368327402135231
17	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.437722419928826
18	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
19	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.993772241992883
20	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.099644128113879
21	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
22	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.133451957295374
23	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0782918149466192
