"Fly ID"	"Light Intensity(uW/mm2)"	"Wind status"	"Satiety"	"Genotype"	"Status"	"weighted_TSALE_P10"
16	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.942028985507246
17	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.13570487483531
18	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
19	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
20	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.234519104084321
21	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.181818181818182
22	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.1699604743083
23	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
24	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.731225296442688
25	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.177865612648221
26	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
27	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.00263504611330698
28	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.72068511198946
29	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
30	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
31	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
32	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.386034255599473
33	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
34	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.766798418972332
35	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
36	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
37	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
38	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.227931488801054
39	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.104084321475626
40	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
41	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
42	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
43	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.130434782608696
44	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
45	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.901185770750988
46	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
47	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
48	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.189723320158103
49	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
50	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.0197628458498024
51	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.101449275362319
52	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
15	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
16	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
17	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.361760660247593
18	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
19	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.354883081155433
20	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.581843191196699
21	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
22	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
23	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
24	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.174690508940853
25	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
26	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.741403026134801
27	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.0343878954607978
28	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.746905089408528
29	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
30	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
31	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
32	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
33	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
34	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.66162310866575
35	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
36	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.639614855570839
37	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
38	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.00412654745529574
39	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
40	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
41	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
42	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
43	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.137551581843191
44	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
45	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.557083906464924
46	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
47	"56uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
